CODVIA,DESVIA,CIRCOS,MUNICIPIO,PARITA,COLCIV,INIZIO,FINE
51040,VIA DELLE PRATE,25,9,P,N,0X,0X
38160,PIAZZA DELLA MERIDIANA,12,1,P,N,2,2
4100,SALITA DI SAN BARNABA,11,1,P,N,32,40
63500,VIA AUSONIO VEDOVI,5,5,P,N,2,2
4280,SCALINATA A SAN BARTOLOMEO,13,1,P,R,2,10
22350,VIA LUIGI DEVOTO,24,9,D,N,1,73
51360,VIA PRIANO,4,6,P,N,4,44
54200,VIA ROLIH,7,5,D,N,1,5
17620,SCALINATA DELLA CITTADELLA,12,1,D,R,1,3
25620,VIA FIUMARA ANTICA,9,2,P,R,2,12
62020,VIA TORTOSA,17,3,P,R,10,100
14600,VICO DEI CATTANEO,12,1,D,R,1,17
42300,PASSO SAN NICOLO',13,1,P,N,10,10
52500,VIA SUPERIORE RAVINA,25,9,P,N,12,20
38660,VIA DELLA MIMOSA,17,3,P,N,2,54
4140,PASSO BARNABITI,13,1,D,N,1,11
14635,PONTE NAZZARENO CAVALLETTI,19,4,P,N,0X,0X
64440,VIA VIGO AL PASSO,20,4,D,R,3,3
38140,VIA MERELLA,21,9,P,N,2,4
21950,PIAZZETTA PIERO DE LUCA,12,1,P,N,0X,0X
23080,VIA ORIETTA DORIA,6,5,P,N,2,2
315,VIA MARIO ADDA,6,5,D,N,7,31
60420,VICO TACCONI,12,1,D,N,3,7
35260,VIA MAINOSO,7,5,D,N,1,23
15580,SALITA CHIAPPA DI STRUPPA,20,4,P,N,2,20
54680,PASSO CHIUSO ROSATA,20,4,D,R,1,9
20600,VIA CROCE VERDE,7,5,D,N,1,5
23420,VIA TERESA DURAZZO PALLAVICINI,5,5,P,R,18,44
16460,SALITA ALLA CHIESA DI QUEZZI,17,3,P,N,8,8
28920,SALITA SUPERIORE DI SAN GEROLAMO,13,1,D,R,33,67
24750,VIA ENRICO FERMI,5,5,D,N,11,41
51860,VIA CARLO QUESTA,5,5,D,N,1,7
46000,VIA ANNIBALE PASSAGGI,22,8,P,N,2,18
45020,VIA MINORE PALLOA,25,9,D,N,1,7
20780,VIA CUNIOLO,25,9,P,N,2,16
3680,PIAZZA BANCHI,12,1,D,R,1,27
32380,VIA DEL LAGACCIO,11,1,D,N,1,43
28900,SALITA DI SAN GEROLAMO,13,1,P,N,10,16
54700,VIA ROSATA,20,4,P,N,8,24
36160,CORSO GUGLIELMO MARCONI,15,8,D,R,3P,9
38400,PIAZZA DEI MICONE,4,6,D,N,1,7
60440,VIA TAGGIA,2,7,P,N,2,8
1680,VIA SOFONISBA ANGUISSOLA,9,2,D,N,1,5
41760,SCALINATA DELLE MURETTE,12,1,P,N,2,2
41460,VIALE ANTONIO MOSTO,23,8,P,N,2,10
37250,VIA MARTIRI DI CEFALONIA,23,8,P,R,2,12
24300,VIA GENERALE MANFREDO FANTI,9,2,D,R,1,67
10620,VICO DI CAMPETTO,12,1,P,R,2,12
60000,VIA ALLA STAZIONE DI VOLTRI,1,7,P,N,2,2
56980,VIA SCARPANTO,3,7,D,N,1,57
18020,VIA DEL COLLE,12,1,P,N,34,58
63280,VIA VARENNA,3,7,P,N,30,90
43380,VICO DELL'OLIVA,12,1,P,R,2,24
7160,VIA DEL BORGO,21,9,P,N,2,50
4820,VIA ODOARDO BECCARI,15,8,P,N,6,28
14180,VICO CASTELLEA,1,7,P,R,2,10
31100,PIAZZA DELLE GRAZIE,12,1,D,N,1,1
37420,VIA ANGELO MASINA,17,3,P,R,2,22
