CODVIA,DESVIA,CIRCOS,MUNICIPIO,PARITA,COLCIV,INIZIO,FINE
37760,VIA GIOVANNI MAURO,2,7,P,N,14,28
40020,SALITA DI MONTEBELLO,12,1,D,R,15,15
26820,VIA DI FRANCIA,10,2,D,N,1,15
8360,VIA FRATELLI BRONZETTI,5,5,D,R,1,15
22120,VIA GIUSEPPE DE PAOLI,16,3,D,R,1,61
25180,VICO DELLE FIASCAIE,12,1,P,R,2,4
24040,CORSO EUROPA,24,9,D,N,397,1271
5440,MURA DI SAN BERNARDINO,13,1,D,N,1,1
27100,SENTIERO FRINGUELLO,4,6,P,N,2,6
24720,VIA FEREGGIANO,17,3,P,R,2B,70
65070,BELVEDERE LINA VOLONGHI,24,9,P,N,0X,0X
1080,PIAZZA GAETANO ALIMONDA,15,8,D,N,1,3A
59520,VICO ALLA SPIAGGIA,8,6,P,N,2,4
26640,VIA UMBERTO FRACCHIA,11,1,D,R,3,7
50900,VIA POZZO DEL PIANO,24,9,P,N,2,10
21840,PIAZZA GIACOMO DELLA CHIESA,3,7,D,R,1,1
62130,PIAZZALE DEI TRAGHETTI IQBAL MASIH,10,2,D,N,5,29
17800,VIA LEONARDO COCITO,23,8,P,N,4,6
7150,VIA SUPERIORE BORGHETTO,2,7,D,N,5A,21
59590,PONTE DEGLI SPINOLA,12,1,P,N,2,10
25680,VIA GIOVANNI FLECHIA,25,9,D,R,1,1
30130,GIARDINI GIOVANNI PAOLO II,14,1,P,N,0X,0X
3620,VIA DELLE BANCHELLE,18,4,D,N,1,41
41260,SALITA MOREGO,6,5,P,N,24,52
2100,SALITA DELL'AQUILA,17,3,P,R,4,6
44740,VIALE GOFFREDO PALAZZI,23,8,D,N,1,5
56600,VICO SAULI,12,1,P,N,2,4
22780,VIA SAN DONA' DI PIAVE,5,5,D,N,1,5
29080,SALITA GESU' E MARIA,10,2,D,N,1,45
13940,VICO DEI CASTAGNA,12,1,P,N,2,4
820,VIA LEON BATTISTA ALBERTI,22,8,P,N,2,4
64960,PIAZZA VITTORIO VENETO,9,2,P,N,2,12
62940,VIA URPETTA,21,9,D,N,1,15A
40180,VICO AL MONTE DI PIETA,12,1,D,N,1,3
315,VIA MARIO ADDA,6,5,P,N,20,42
49760,VIA TOMASO PONSELLO,6,5,P,N,4,4
5880,SALITA NICOLO' BIAGI,1,7,P,R,2,6
38600,VIA DEI MILLE,24,9,D,N,1,23
11280,VIA TERESIO MARIO CANEPARI,5,5,D,N,1,59
50740,PIAZZA DELLA POSTA VECCHIA,12,1,P,N,2,2
46400,VICO DELLA PECE,12,1,D,N,5,7
22040,VICO DE MARINI,12,1,D,N,1,13
65060,PASSO VODICE,6,5,D,R,1,9
3020,VIA ASSAROTTI,13,1,D,N,13,39
55910,VIA ALFREDO SANDULLI,8,6,P,N,2,14
13060,PONTE CARREGA,18,4,P,N,0X,0X
58780,SALITA SAN SIRO,12,1,D,R,1,15
16220,VIA ALLA CHIESA DI BEGATO,5,5,P,N,4,16
59590,PONTE DEGLI SPINOLA,12,1,D,N,3,9
42920,VIA NOSTRA SIGNORA DELLA NEVE,6,5,D,N,1,1
7400,VIA BOSCHI DI SANT'ILARIO,25,9,P,N,0X,0X
42600,SALITA SUPERIORE DELLA NOCE,22,8,P,N,78,78B
10640,VIA CAMPI,5,5,D,N,1A,19
47160,VIA DEI PESCATORI,15,8,D,R,1,3
57600,LUNGOTORRENTE SECCA,6,5,D,R,3,63
12840,VIA CARNIA,5,5,P,R,4,48
27935,LARGO SILVIO GANDOLFO,7,5,P,N,2,6
6220,VIA ETTORE BISAGNO,21,9,P,R,2B,24
46460,VIA PEGLI,3,7,P,N,0A,30
55480,VIA MAURIZIO SACCHI,22,8,P,N,2,12
62780,SCALINATA DI SANT'UGO,12,1,P,N,4,4
19760,VIA ALLA COSTA DI SERRETTO,22,8,P,N,2,2
2000,VICO STRETTO SANT'ANTONIO,9,2,D,N,5,5
58360,VIA GUIDO SETTE,4,6,P,N,2,4
28540,VIA ANTONIO GAVOTTI,14,1,D,N,1,7
23920,VICO ERMINIO,4,6,P,R,2,40
35820,VIA ALDO MANUZIO,16,3,P,R,2,120
26780,VIALE GOFFREDO FRANCHINI,25,9,D,N,1,23
9925,LARGO CALASETTA,3,7,D,N,1,1
51760,VIA RENATO QUARTINI,5,5,P,N,20,32
2140,VICO AQUILEIA,4,6,D,N,1,7
46830,PIAZZETTA DELLE PENNE NERE,5,5,P,N,2,12
65340,PASSO DELLA ZEBRA,17,3,D,N,1,1
36383,VICO CHIUSO SANTA MARIA,12,1,P,N,0X,0X
47740,VIA PIANELETTI,24,9,P,R,2,2
23820,PIAZZA DELLE ERBE,12,1,P,N,4,12
34400,VIA LUCCA,23,8,P,N,2,4A
54780,PIAZZA INFERIORE DEL ROSO,12,1,P,R,2,6
41280,VIA MOREGO,6,5,P,N,30,56Q
60300,VIA STUGGIA,5,5,P,N,2,10
4360,SALITA SAN BARTOLOMEO DEL CARMINE,12,1,D,N,1,21
22760,VICO DOMOCULTA,12,1,P,N,2,2
54000,VIA SAN ROCCHINO DI NERVI,25,9,D,N,1,3
20060,VIA SAN GIUSEPPE COTTOLENGO,24,9,D,N,1,21
59320,VIA SPALLAROSSA,20,4,P,N,2,26C
58850,VIA CAMILLO SIVORI,2,7,D,N,3,3
62740,VIA UBBIA,19,4,D,N,3,11
40080,VIA MATTIA MONTECCHI,4,6,P,R,2,20
65680,VIA DELLO ZUCCO,24,9,P,N,2,10
18560,VIA CONI ZUGNA,7,5,P,R,4,36
59840,VICO DELLA STAMPA,12,1,P,R,4,6
22060,VICO DE NEGRI,12,1,D,N,7,11
54540,SALITA SUPERIORE DELLA RONDINELLA,12,1,D,N,1,7
22480,PIAZZA DINEGRO,10,2,P,R,2,22
23380,VIALE DURAZZO PALLAVICINI,3,7,D,R,1,7
42680,SALITA NOFFI,25,9,P,N,6,22
16340,VIA ALLA CHIESA DI MOLASSANA,19,4,D,N,1,1
63420,VIA CANDIDO AUGUSTO VECCHI,24,9,D,N,3,23
35120,VIA VISCONTE MAGGIOLO,21,9,D,R,1,3
11220,LUNGOMARE GIUSEPPE CANEPA,9,2,P,R,2,82
36770,VIA SAN MARINO,10,2,P,N,104,226
40640,SALITA DI MONTEROSSO,12,1,P,N,10,18
42000,PIAZZA DEI NATTINO,4,6,D,N,1,1
15520,PIAZZETTA CARLO CHIAFFARINO,12,1,P,R,2,10
35930,GIARDINI TRANQUILLO MARANGONI,11,1,P,N,0X,0X
26760,VIA NINO FRANCHI,24,9,D,R,1,3
65560,MURA DEGLI ZINGARI,10,2,D,R,1,21
63460,VIA VECCHIA,18,4,D,R,1,5
56200,VIA GIUSEPPE SAPETO,22,8,P,N,2,32B
51450,VIA DELLE PRIMULE,24,9,P,N,116,116
56700,VICO DEI SAVIGNONE,2,7,P,R,2,16
16720,VIA ALLA CHIESA PLEBANA,25,9,P,R,2,8
57700,VIA PADRE GIOVANNI SEMERIA,22,8,D,R,1,43
25520,VIA FIODOR,14,1,D,N,1,7
4540,CORSO UGO BASSI,11,1,P,R,2,58
24890,PIAZZA GIOVANNI BATTISTA FERRARI,6,5,P,N,4,4
800,VIA ARIBERTO ALBERTAZZI,10,2,P,N,2,10
42980,VICO DI NOSTRA SIGNORA DEL SOCCORSO,12,1,P,N,6,10
4380,VIA SAN BARTOLOMEO DEL FOSSATO,9,2,D,R,1,187
55810,VIA GIUSEPPE SALVAREZZA,5,5,P,N,4,10
23740,MURA DI SANT'ERASMO,13,1,D,N,1,7
28080,VIA FABIO GARELLI,3,7,D,R,1,133
46080,VIA PASSO BUOLE,8,6,P,N,2,6
54140,VIA RODI,23,8,P,R,6,14
11740,VIA CAPITANO DEL POPOLO,4,6,D,R,1,29
53530,VIA LUIGI ACHILLE RIVA,19,4,D,N,1,59
54040,SALITA SAN ROCCO,10,2,D,R,7A,45
69532,PIAZZA DELL'UNITA' D'ITALIA,19,4,P,N,4,4
7360,VIA SUPERIORE DEL BOSCASSO,24,9,P,N,2,10
5000,CORSO BELVEDERE,9,2,P,N,16,44
2660,VIA VALENTINO ARMIROTTI,9,2,D,R,1,33
47440,VIA PIAGGIO,13,1,P,N,2,54
17800,VIA LEONARDO COCITO,23,8,D,N,1,13A
45360,VIA DI SAN PANTALEO,18,4,D,R,1,7
4905,PASSO GRAZIELLA BELARDI,4,6,D,N,1,7
64420,VIA VIGO,21,9,P,R,2,8
22100,VIA GIUSEPPE DE NOTARIS,4,6,P,N,2,4
32300,LARGO ERNESTO JURSE',9,2,D,R,1,9
460,PIAZZA DELL'AGNELLO,12,1,P,R,34,38
6380,VIA BOBBIO,18,4,P,N,4,72
43040,VICO NOTTURNO,12,1,P,N,2,8
62980,VICO USODIMARE,12,1,P,R,2,24
62220,VIA EDUARDO TRAVERSO,23,8,P,N,2,2
25620,VIA FIUMARA ANTICA,9,2,D,N,1,1
20920,VIA MARIO E NICOLO' DAGNINO,3,7,D,N,1,27
55960,CALATA ALLA SANITA',9,2,D,N,1,3
56480,SALITA DEI SASSI,14,1,D,N,3,7
58340,SALITA DELLA SETA,12,1,D,N,3,3
53130,VIA RINALDO RIGOLA,10,2,P,N,2,60
17740,PIAZZA COSMA CLAVARINO,4,6,P,N,4,4
61840,VIA SUPERIORE TORRENTE NERVI,25,9,P,N,2,14
48920,PIAZZA ANTONIO PITTALUGA,25,9,P,R,2,14
43980,VIA ORIGONI,21,9,D,N,3,25
320,VICO DEGLI ADORNO,12,1,D,N,3,7
29440,VIA ETTORE GIANELLO,8,6,P,R,2,4
7500,VIA CARLO BOSIO,23,8,P,N,2,14
24160,VIA DEL FAGGIO,18,4,P,N,2,20
50660,VICO CHIUSO DEL PORTICO,10,2,P,N,2,28
1720,SALITA INFERIORE SANT'ANNA,13,1,D,R,1,59
43160,PIAZZA DELLE OCHE,12,1,D,R,1,3
27860,SALITA GAMBONIA,20,4,P,N,2,18A
14680,PASSO GIUSEPPE CAVALLINO,15,8,P,N,2,2
31200,VIA DEI GRETI,17,3,D,N,1,5
49820,VIA AL PONTE CALVI,12,1,P,N,2,6
14500,VIALE CATALDI BOMBRINI,23,8,P,N,2,4
14160,SALITA CASTELLARO DI BAVARI,19,4,D,N,1,15
90410,MERCATO PIAZZA SAULI,2,7,P,N,0,0
15100,VIA ADAMO CENTURIONE,11,1,P,N,2,8
58320,VIA SESTRI,4,6,D,N,1,59
50420,SALITA A PORTA DI SAN BERNARDINO,13,1,D,N,25,25
5660,VIA UMBERTO BERTOLOTTI,8,6,D,R,7,85
34700,VIA GIUSEPPE MACAGGI,14,1,D,R,1,73
19360,VIA ANDREA COSTA,4,6,P,N,2,14
26380,VIA FORTE MONTE GUANO,5,5,P,N,2,8
14880,PIAZZA CAVOUR,12,1,P,R,20,54
12230,GALLERIA DEI CARAVANA,12,1,D,N,1,1
24120,PIAZZA FACCHINI,5,5,P,N,2,2
60840,VICO DEL TEATRO DELLE VIGNE,12,1,P,N,2,2
52420,VIA EUGENIA RAVASCO,14,1,P,R,24,38
21820,VIA PAOLO DELLA CELLA,11,1,D,N,13,33
36640,VIA MARIA SANTISSIMA AUSILIATRICE,2,7,P,R,2,6
5400,VIA DELLE BERNARDINE,14,1,D,N,21,31A
14780,PIAZZETTA CAVE DI SELZ,4,6,D,N,1,1
46380,SALITA PAXO,20,4,P,N,0X,0X
43160,PIAZZA DELLE OCHE,12,1,P,R,2,2
39540,VICO DELLE MONACHETTE,12,1,P,N,2,12
7820,VIA BRANEGA,2,7,P,N,6,178
63260,VIA VARCO DELLE GRAZIE,12,1,P,N,4,6
1500,VIA ANCONA,25,9,P,N,2,12
64020,VIA VESIMA,1,7,D,N,1,51
29980,SALITA SAN GIOVANNI,12,1,D,N,1,1
25880,VIA DELLA FONTANA,24,9,P,N,18,20
2640,VIA ARMENIA,15,8,P,R,2,10
39380,VIA DEL MOLO,12,1,D,N,1,27
54980,VIA GIOACCHINO ROSSINI,5,5,D,N,1,21
32620,VIA ALBERICO LANFRANCO,21,9,P,N,6,76
14740,VIA FELICE CAVALLOTTI,23,8,D,R,1,91
53600,VIA STEFANO RIVAROLA,9,2,P,N,2,2
65700,VIA DELLA ZUCCONA,25,9,D,N,5,7
21700,VICO DE GRADI,12,1,P,N,2,10
29100,VIA DOMENICO GHELFI,7,5,D,R,21,21
2520,VIA ARGINE POLCEVERA,9,2,D,R,9,23
18830,VIA GINO COPPEDE',17,3,P,N,4,54
1100,VIA FEDERICO ALIZERI,10,2,P,R,2,32
13700,VIA CASINI,17,3,D,N,1,3
13440,VIA GIOVANNI CASARTELLI,11,1,P,N,2,12
46200,VIA PASQUALE PASTORINO,6,5,D,N,1,29
41060,VIA MONTICELLI,17,3,D,N,5,13
46290,GIARDINI CAMILLO PAVANELLO ,9,2,P,N,0X,0X
51000,VIA STEFANO PRASCA,24,9,P,N,44,76
340,PIAZZA ADRIATICO,18,4,P,R,6,20
52870,VIA PAOLO REVELLI BEAUMONT,16,3,P,N,2,36
21665,VIA ALCIDE DE GASPERI,25,9,D,N,11,63
6720,VIA GIOVANNI BOINE,11,1,P,R,2,50
27660,CORSO GALLIERA,16,3,D,R,1,87
21420,VIA PRETE NICOLO' DASTE,9,2,P,N,2,36
1300,VIA SANT'AMBROGIO DI VOLTRI,1,7,P,R,2,36
9080,VIA CADATO,20,4,P,N,2,6
55420,VICO INFERIORE DI SANTA SABINA,12,1,D,N,1,3
60880,VIA TECCI,7,5,D,N,1,17
56320,CORSO SARDEGNA,17,3,P,N,58,92
9360,VIA CA' DEL BIANCO,21,9,D,N,1,5
6140,PIAZZA GIUSEPPE BIGNAMI,2,7,P,R,2,6
69543,GIARDINI AQUILE RANDAGIE,16,3,P,N,0X,0X
5200,CALATA SAN BENIGNO,10,2,P,N,0X,0X
52420,VIA EUGENIA RAVASCO,12,1,P,R,2,22A
63640,VICO VENEROSO,12,1,P,N,12,12
19920,VIA GIOVANNI COSTANZI,11,1,D,N,91,93
44980,VIA PALLOA,25,9,D,N,5,29
7220,PASSO BORGO INCROCIATI,16,3,P,N,0X,0X
45160,VIA LEONE PANCALDO,9,2,D,N,1,5
56020,SCALINATA SANTA,12,1,P,N,0X,0X
48940,VIA GEROLAMO PITTALUGA,9,2,D,N,1,9
28480,VIA SUPERIORE GAVE,20,4,P,N,2,36
8240,PIAZZALE EMANUELE BRIGNOLE,13,1,D,N,1C,3
39100,VIA GIOVANNI AMBROGIO MOLFINO,4,6,P,R,2,38
31380,VIA TOMASO GROSSI,9,2,P,N,2,2
12440,PIAZZA DI CARIGNANO,14,1,D,R,1,7
39600,VIA DEL MONASTERO,9,2,P,R,2,12
61760,VICO AL TORRENTE,18,4,P,N,2,6
63180,VICO VALORIA,12,1,D,N,9,9
56100,PIAZZA DEL SANTUARIO DELLE GRAZIE,1,7,D,N,1,1
8080,VIA COSTANTINO E MARIA BRIGHENTI,8,6,P,N,2,10
7700,VIA BOTTINI,24,9,P,R,2,50
65100,VIA SOTTO I VOLTI,1,7,D,N,1,3
42660,VIA DEI NOCETI,20,4,D,N,1,29A
42400,DISCESA A SAN NICOLOSIO,12,1,D,R,1,21
39060,VIALE MOJON,14,1,D,N,1,5A
55640,VIA EMILIO SALGARI,3,7,P,R,62,62
48740,VIA SERGIO PIOMBELLI,5,5,D,N,11,35A
35120,VIA VISCONTE MAGGIOLO,21,9,P,N,2,28
25540,VIA DEI FIORI,22,8,P,N,2,2
4020,VIA BARI,11,1,D,R,29,47
13180,VIA ALFREDO CARZINO,9,2,D,R,5,45
53280,SALITA RIO MAGGIORE,19,4,P,N,16A,38
13070,PIAZZALE CARRISTI D'ITALIA,25,9,P,N,0X,0X
29500,VIA ANTONIO GIANUE',6,5,D,R,1,15
56720,VIA SAVONA,15,8,D,R,1,25
28640,VICO AL GAZZO,4,6,D,N,3,9
32800,VICO LARGO,12,1,P,N,2,6
52060,VICO CHIUSO RAGGI,12,1,P,R,2,4
10340,PASSO GABRIELE CAMOZZI,5,5,D,R,1,5
53100,VIA RENZO RIGHETTI,23,8,D,R,1,51
60240,VIA EMANUELE STRASSERRA,23,8,P,R,2,26
65120,VIA DEL VOLTINO,1,7,P,N,4,10
62240,VIA ANTONIO TRAVI,4,6,D,R,1,69
64940,PIAZZA DELLA VITTORIA,15,8,D,N,3,15
30520,VIA DEI GIUSTINIANI,12,1,P,N,2,32
65420,VIA REMIGIO ZENA,17,3,P,R,6,34
36300,PIAZZA DI SANTA MARIA,17,3,P,R,2,24
5860,VIA EGISTO BEZZI,5,5,D,N,1,1
7700,VIA BOTTINI,24,9,D,R,9,35
12340,VIA CLAUDIO CARCASSI,14,1,D,N,29,31
57940,VIA SERRA DI MUSANEGO,25,9,P,N,2,2
41000,VIA MONTE ZOVETTO,23,8,P,N,6,26
52140,VIA RAMELLINA,2,7,P,N,2,24
39080,VIA MOLASSANA,19,4,D,N,3,83
19140,VIA CARLO CORSI,4,6,D,N,1,7
21460,VIA MASSIMO D'AZEGLIO,9,2,D,N,1,5
39380,VIA DEL MOLO,12,1,P,N,4,24
13180,VIA ALFREDO CARZINO,9,2,P,R,2,30
39320,VIA MOLINO DI CREVARI,1,7,P,N,0X,0X
7480,VIA PAOLO BOSELLI,23,8,P,N,22,32
10800,VIA CAMPOMORONE,7,5,D,N,15,119
2720,PIAZZA SILVIO ARRIVABENE,4,6,D,R,1,31
48880,VIA PISACANE,15,8,D,R,1,135
16920,VIA CHIUSONE,9,2,D,N,1,1
11300,VIALE CANESSA,17,3,D,N,1,9A
4520,VIA BASSANO,11,1,P,R,2,6
15940,MURA DI SANTA CHIARA,14,1,D,N,1,5
20240,VIA VECCHIA DI CRETO,20,4,D,N,1,3
40820,VIA MONTE SUELLO,15,8,D,R,1,19
69582,PIAZZETTA MAURO ROSTAGNO,12,1,P,N,0X,0X
28180,PASSEGGIATA ANITA GARIBALDI,25,9,D,N,13,29
4220,PASSO CAPORALE PIETRO BARSANTI,13,1,D,N,1,3
57420,VICO DEGLI SCUDAI,12,1,D,N,1,1
23220,VICO DEL DUCA,12,1,D,N,1,11
24120,PIAZZA FACCHINI,5,5,D,R,1,5
32090,VIA ISOLA DEL VESCOVO,19,4,D,N,51,195
52160,VICO CHIUSO DELLA RANA,12,1,D,R,1,13
80,SALITA ACCINELLI,13,1,D,R,31,31
47840,VIA DEL PIANO,17,3,P,N,4,6
23540,PIAZZA SANT'ELENA,12,1,P,R,2,10
16860,VIA DAVID CHIOSSONE,12,1,P,R,12,48
35500,VIA MALMISTRA,4,6,D,N,1,7
38200,LARGO AUGUSTO MERLO,17,3,P,R,70A,96
44960,VIA IGNAZIO PALLAVICINI,3,7,P,N,2,18
35600,VIA GOFFREDO MAMELI,13,1,P,N,2,4
2080,PIAZZA GIOVANNI ANTONIO APROSIO,4,6,P,N,2,18
20860,VIA STEFANINO CURTI,23,8,P,R,2A,8
20480,VICO CROCE BIANCA,12,1,P,R,8,34
21760,VIA FELICE DEL CANTO,7,5,P,N,2,6
54380,VIA RONCALLO,25,9,D,R,7,13
21600,PIAZZA RAFFAELE DE FERRARI,12,1,P,N,2,4
20920,VIA MARIO E NICOLO' DAGNINO,3,7,D,R,7,135
37340,VIA PIETRO MASCAGNI,4,6,D,N,1,51
61140,PIAZZA TERRALBA,16,3,P,N,2,8
53210,PASSO RIO CANATE,20,4,P,N,2,2
37160,VIA SAN MARTINO,22,8,P,N,2,18
21000,VIA DAL VERME,25,9,D,R,1,49
59820,PIAZZA DELLA STAMPA,12,1,P,R,2,6
16080,VIA DAMIANO CHIESA,9,2,P,N,2,2
61900,SALITA DELLA TORRETTA,12,1,P,N,6,6
63860,VIA DON GIOVANNI VERITA',1,7,D,N,1,25
50100,VIA PONTEROTTO,16,3,P,N,2,12
11000,VIA FRATELLI CANALE,22,8,D,N,1,15
69588,VIA GUIDO D'AREZZO,24,9,D,N,1A,1A
1980,VICO INFERIORE SANT'ANTONIO,12,1,D,R,9,9
19160,VIA CORSICA,14,1,D,R,1,51
49920,VIALE PONTE DELL'AMMIRAGLIO,24,9,P,N,2,66
64140,PASSO ARMANDO VEZZELLI,22,8,P,N,4,14
20400,VICO DI SAN CRISTOFORO,12,1,D,R,3,11
63840,VIA DELLA VERGINE,24,9,P,N,2,4
27510,VIA LUIGI GAINOTTI,1,7,D,N,1,161
65360,VIA DELLA ZEBRA,17,3,D,N,1,7
34420,VIA LUCCHI,25,9,D,N,1,33
25980,VIA DELLE FONTANE,12,1,D,N,1,1
51380,VICO CHIUSO PRIANO,4,6,P,N,4,6
60020,PIAZZA DI SANTO STEFANO,14,1,P,N,2,6
48680,SALITA DI PINO SOTTANO,19,4,D,N,1,31A
35340,VIA ALESSANDRO MALASPINA,8,6,P,N,2,22
10360,VIA CARLO CAMOZZINI,1,7,P,N,2,36
43720,TRAVERSA DEGLI OPERAI,4,6,D,R,1,15
14960,VIA CELESIA,5,5,P,N,8,46
44040,SALITA DELL'ORO,12,1,P,N,2,4
44720,VIA DELLA PALA,24,9,P,N,6,6
7320,VIA MILITARE DI BORZOLI,4,6,D,N,3,51
27020,VIA FRAVEGA,25,9,D,N,1,3
30310,VIA GRAZIELLA GIUFFRIDA,6,5,P,N,4,18
50100,VIA PONTEROTTO,17,3,D,N,1,21
65400,VIA ZELLA,5,5,P,N,2,22
44660,VICO CHIUSO PAGGI,12,1,D,N,3,3
16720,VIA ALLA CHIESA PLEBANA,25,9,D,R,1,7
9180,SALITA SUPERIORE CA' DEI BAGHINI,20,4,P,N,2,12
53780,VIA AURELIO ROBINO,17,3,P,N,2,100
53780,VIA AURELIO ROBINO,17,3,D,R,1,361
6720,VIA GIOVANNI BOINE,11,1,D,R,11,35
65080,VIA ALESSANDRO VOLTA,14,1,P,R,8,10
9180,SALITA SUPERIORE CA' DEI BAGHINI,20,4,D,N,1,11B
47465,PIAZZA ROCCO PIAGGIO,14,1,P,N,6,6
64660,VIA VILLINI AMBROGIO NEGRONE,2,7,P,R,2C,26
57980,VIA SERRA GROPALLO,25,9,P,R,2,6
24300,VIA GENERALE MANFREDO FANTI,9,2,D,N,1,21
45340,SALITA DI SAN PANTALEO,18,4,P,N,2,16
48200,VICO CHIUSO DELLA PIETRA,5,5,P,N,2,2
64650,SCALINATA A VIA VILLINI NEGRONE,2,7,P,N,0X,0X
41940,VIA NAPOLI,11,1,D,N,1,67
21760,VIA FELICE DEL CANTO,7,5,D,N,1,21
31860,VIA INCISA,3,7,P,N,12,30
52140,VIA RAMELLINA,2,7,P,R,4,114
57460,VIA ALLE SCUOLE DI MOREGO,6,5,P,N,2H,58
9800,VIA CAGLIARI,17,3,P,R,2,24
63220,VIA VAL SUGANA,7,5,P,N,2,8
22560,VIA DIVISIONE ACQUI,25,9,D,N,1,53
14380,VIA CASTEL MORRONE,5,5,D,R,5,9
20940,VIA LUIGI MARIA D'ALBERTIS,1,7,P,N,2,16
32720,RAMPA DELLA LANTERNA,9,2,P,N,2,6
24760,VIA SAN FERMO,10,2,P,N,2,6
15860,PASSO DI CHIAPPETO,22,8,P,N,6,14
35600,VIA GOFFREDO MAMELI,13,1,D,N,1,9
3840,PIAZZA NICOLO' BARABINO,9,2,P,R,2,66
24640,VICO DI SANTA FEDE,12,1,P,R,2,22
52020,VICO DEI RAGAZZI,12,1,P,R,12,16
18980,VICO DIETRO IL CORO DI SAN COSIMO,12,1,D,N,13,21
40700,VIA DI MONTESANO,14,1,P,N,2,18
2760,VIA ARSIERO,8,6,P,R,2,28
24680,VIA SAN FELICE,19,4,P,N,2,212
44620,VIA PAGANO,25,9,P,N,4,6
48960,VICO CHIUSO PITTAMULI,14,1,P,N,2,2
31730,VIA ILICE,15,8,P,N,2,6
51760,VIA RENATO QUARTINI,5,5,D,N,19,39
57180,VICO DELLA SCIENZA,12,1,P,R,2,14
7860,SALITA BRASILE,6,5,P,R,2,18A
31760,VICO MATTEO RENATO IMBRIANI,9,2,P,N,2,14
29980,SALITA SAN GIOVANNI,12,1,P,R,2,16
7780,VIA BRACELLI,13,1,D,N,1,11
49440,VIA GUIDO POLI,7,5,P,R,2,58
33820,VIA LIGORNA,20,4,D,N,1C,31
33870,PIAZZALE SANTA LIMBANIA,10,2,P,N,0X,0X
35880,VIA DELLA MAONA,3,7,P,N,2,6
45480,VIA RAFFAELE PAOLUCCI,15,8,P,R,2,38
45320,VIA PANIGARO,4,6,D,N,1,11
52520,VIA ERNESTO RAYPER,9,2,P,N,12,16
26040,PIAZZA DELLE FONTANE MAROSE,12,1,D,R,1,17
1260,PIAZZA SANT'AMBROGIO DI FEGINO,5,5,P,N,2,2
3320,VIA DOMENICO BAFFIGO,8,6,D,N,1,3
30620,VIA PIERO GOBETTI,23,8,D,R,5,7
40960,PIAZZA CLAUDIO MONTEVERDI,8,6,D,R,1,27
60580,VIA LUCA TARIGO,3,7,D,N,1,11A
39140,VIA MOLINASSI,6,5,D,R,1,15
50240,VIA INFERIORE PORCILE,6,5,D,N,1,7B
44360,PASSO DELL'OSSERVATORIO,11,1,P,N,4,4
2880,VIA ALL'ASILO DAVIDE E DELFINA GARBARINO,10,2,D,R,3,53
43860,VIA DEGLI OREFICI,12,1,D,R,25,65
44240,VIA ORTIGARA,5,5,D,N,7,27
38660,VIA DELLA MIMOSA,17,3,D,N,61,81
58960,VIA DEL SOLE,21,9,P,N,2,12
23940,VICO CHIUSO DEGLI EROI,12,1,P,R,2,2
61340,VIA TIMAVO,21,9,D,N,1,89
29640,VIA DELLE GINESTRE,18,4,P,R,60,136
54800,PIAZZA SUPERIORE DEL ROSO,12,1,P,R,6,8
46500,VIA DI PEIETTI,21,9,P,N,2,14
1640,VICO ANGELI,12,1,P,R,4,32
60000,VIA ALLA STAZIONE DI VOLTRI,1,7,D,R,1,43
6340,VIA VINCENZO BLELE',16,3,D,R,1,35
45220,VICO A DESTRA DI SAN PANCRAZIO,12,1,P,R,2,4
59940,VIA ALLA STAZIONE DI RIVAROLO,5,5,P,N,2,22
25640,VIA FIUME,14,1,P,N,2,10
30700,VIA GORIZIA,24,9,D,R,3,33
14020,VIA CASTAGNEVIZZA,4,6,D,N,1,1
44500,VICO DELLA PACE,12,1,P,N,4,10
15180,VIA ANGELO CEPPI DI BAIROLO,10,2,P,N,2,12
20620,VIA CROCIFISSO,25,9,D,N,3,13
58380,PIAZZA LUIGI SETTEMBRINI,9,2,P,R,2,24
8140,SALITA DI SANTA BRIGIDA,12,1,P,R,2,12
19360,VIA ANDREA COSTA,4,6,P,R,2,30
31580,VIA ALBERTO GUGLIELMOTTI,3,7,P,N,4,20
2440,VIA DELL'ARENA,21,9,P,R,4,22
46640,VIA SILVIO PELLICO,14,1,P,N,2,2
69511,ROTONDA 9 NOVEMBRE 1989,15,8,P,N,0X,0X
61580,CORSO TORINO,15,8,D,N,1,35
23480,SALITA EGEO,1,7,P,N,8,18
69594,PIAZZALE MONSIGNOR EMANUELE MICHELINI,7,5,P,N,0X,0X
53020,VIA VINCENZO RICCI,14,1,D,N,1,7A
58580,SALITA SAN SILVESTRO,12,1,P,N,2,2
46800,VIA TOMASO PENDOLA,16,3,P,R,2,52
90220,MERCATO STAGLIENO,18,4,P,N,0,0
29120,VIA GHIARA,4,6,P,N,2,2
21960,CALATA ANSALDO DE MARI,12,1,P,N,6,6
25380,VICO DI SAN FILIPPO,12,1,D,R,1,35
26820,VIA DI FRANCIA,9,2,P,R,42A,94
41800,SALITA MURTA,6,5,D,N,1,57
51120,VIA AI PRATI D'OREGINA,11,1,P,N,6,18
35320,MURA DELLA MALAPAGA,12,1,P,N,2,2
30660,VIA CARLO GOLDONI,4,6,P,R,2,56
11620,VIA AI CANTIERI,1,7,D,R,1,19
50960,VIA PRA',2,7,D,R,7,255
50620,PORTICCIOLO DUCA DEGLI ABRUZZI,12,1,P,N,0,0
